ligand_id	barrier_energy	original_line
PV-002722774830	30.261	PV-002722774830 30.261
PV-002723042773	29.394	PV-002723042773 29.394
PV-002723264248	26.515	PV-002723264248 26.515
PV-002723264249	31.126	PV-002723264249 31.126
PV-002723500273	30.057	PV-002723500273 30.057
PV-002724212477	28.928	PV-002724212477 28.928
PV-002724386302	28.537	PV-002724386302 28.537
PV-002725088465	31.58	PV-002725088465 31.580
PV-002726100927	26.851	PV-002726100927 26.851
PV-002726100928	30.633	PV-002726100928 30.633
PV-002726100929	29.161	PV-002726100929 29.161
PV-002726131753	27.843	PV-002726131753 27.843
PV-002726191669	29.601	PV-002726191669 29.601
PV-002726204631	31.432	PV-002726204631 31.432
PV-002726462516	29.186	PV-002726462516 29.186
PV-002726479618	31.408	PV-002726479618 31.408
PV-002727375068	27.216	PV-002727375068 27.216
PV-002728697279	26.748	PV-002728697279 26.748
PV-002729361388	29.163	PV-002729361388 29.163
PV-002730415802	31.179	PV-002730415802 31.179
PV-002730415803	29.904	PV-002730415803 29.904
PV-002730415804	26.881	PV-002730415804 26.881
PV-002732385232	28.258	PV-002732385232 28.258
PV-002732738926	29.795	PV-002732738926 29.795
PV-002733199995	28.955	PV-002733199995 28.955
PV-002734382279	26.127	PV-002734382279 26.127
PV-002734545848	30.564	PV-002734545848 30.564
PV-002734545849	28.182	PV-002734545849 28.182
PV-002734653852	29.74	PV-002734653852 29.740
PV-002734838040	29.928	PV-002734838040 29.928
PV-002735025229	26.705	PV-002735025229 26.705
