ligand_id	barrier_energy	job_id	barrier_file	barrier_line
PV-007129860737	30.891000000000744	10	ligand_barriers_JOB_10.txt	"PV-007129860737	1	30.891000000000744"
PV-007129887373	29.05590000000484	10	ligand_barriers_JOB_10.txt	"PV-007129887373	1	29.05590000000484"
PV-007129890952	31.713600000003176	10	ligand_barriers_JOB_10.txt	"PV-007129890952	1	31.713600000003176"
PV-007130019029	29.29840000000727	10	ligand_barriers_JOB_10.txt	"PV-007130019029	1	29.29840000000727"
PV-007130162286	29.521300000005954	10	ligand_barriers_JOB_10.txt	"PV-007130162286	1	29.521300000005954"
PV-007130373858	26.407700000007242	10	ligand_barriers_JOB_10.txt	"PV-007130373858	1	26.407700000007242"
PV-007130473575	26.488799999994217	10	ligand_barriers_JOB_10.txt	"PV-007130473575	1	26.488799999994217"
PV-007130473576	26.361399999988624	10	ligand_barriers_JOB_10.txt	"PV-007130473576	1	26.361399999988624"
PV-007130673587	29.294800000003907	10	ligand_barriers_JOB_10.txt	"PV-007130673587	1	29.294800000003907"
PV-007130805862	25.861899999997558	10	ligand_barriers_JOB_10.txt	"PV-007130805862	1	25.861899999997558"
PV-007131047428	28.13509999999552	10	ligand_barriers_JOB_10.txt	"PV-007131047428	1	28.13509999999552"
PV-007131318227	30.27109999999776	10	ligand_barriers_JOB_10.txt	"PV-007131318227	1	30.27109999999776"
PV-007131513839	26.183900000002026	10	ligand_barriers_JOB_10.txt	"PV-007131513839	1	26.183900000002026"
PV-007131528910	30.469800000000763	10	ligand_barriers_JOB_10.txt	"PV-007131528910	1	30.469800000000763"
PV-007131528911	30.206799999992	10	ligand_barriers_JOB_10.txt	"PV-007131528911	1	30.206799999992"
PV-007131528912	25.520299999994023	10	ligand_barriers_JOB_10.txt	"PV-007131528912	1	25.520299999994023"
PV-007131532665	30.3791000000017	10	ligand_barriers_JOB_10.txt	"PV-007131532665	1	30.3791000000017"
PV-007131857376	26.921699999995436	10	ligand_barriers_JOB_10.txt	"PV-007131857376	1	26.921699999995436"
PV-007132225850	30.31890000000019	10	ligand_barriers_JOB_10.txt	"PV-007132225850	1	30.31890000000019"
PV-007132225851	31.49699999998995	10	ligand_barriers_JOB_10.txt	"PV-007132225851	1	31.49699999998995"
